blomen_essential,gene
FALSE,Kdm5c
FALSE,St3gal3
FALSE,Klc1
FALSE,Ffar1
TRUE,Cox6b1
TRUE,Thra
FALSE,Nr1d1
FALSE,Irf3
FALSE,Prr12
TRUE,Becn1
FALSE,Prkcg
FALSE,Six1
FALSE,Rhot1
FALSE,Avpr2
FALSE,Map2k2
FALSE,Hnrnph2
FALSE,Bcl11b
FALSE,Macf1
TRUE,Smarca4
FALSE,Kdm4b
FALSE,Tuba4a
FALSE,Pnkd
FALSE,Akap9
FALSE,Por
FALSE,Pex1
FALSE,Sgce
FALSE,Kdr
FALSE,Adora2a
FALSE,Mchr1
FALSE,Tas2r118
FALSE,Foxp2
FALSE,Smo
FALSE,Irf5
FALSE,Fezf1
FALSE,Opn1sw
FALSE,Chn1
FALSE,Gad1
FALSE,Hoxd10
FALSE,Hoxd13
FALSE,Herc2
FALSE,Snrpn
FALSE,Eif2ak4
FALSE,Ivd
FALSE,Vps13c
FALSE,Myod1
FALSE,Kcnc1
TRUE,Nrl
FALSE,Foxj1
FALSE,Fgf13
TRUE,Tomm40
FALSE,Dpp6
FALSE,Xpo7
FALSE,Kif1a
FALSE,Actn4
FALSE,Ndufa10
FALSE,Zswim6
FALSE,Jund
FALSE,Camsap1
TRUE,Atxn10
FALSE,Caly
FALSE,Mnx1
FALSE,Osbpl2
TRUE,Prdm12
TRUE,Zfp236
FALSE,Casz1
FALSE,Syne1
FALSE,Zfp341
FALSE,Arhgef9
FALSE,Gfap
TRUE,Atp6v1e1
FALSE,Cox4i1
TRUE,Cox7b
FALSE,Ppt1
FALSE,Rlim
TRUE,Abcb7
FALSE,Traf3
FALSE,Kcnc3
FALSE,Nr1h2
FALSE,Map1b
FALSE,Rara
FALSE,Pdha1
TRUE,Thap1
FALSE,Lgals3
FALSE,Cc2d1a
FALSE,Raf1
TRUE,Pparg
TRUE,Ptcd3
FALSE,Inpp5k
TRUE,Eif5a
FALSE,Kdm6b
FALSE,Slc52a2
FALSE,Gucy2e
FALSE,Dlg4
FALSE,Vps13b
FALSE,Reep2
FALSE,Snap25
TRUE,Dap3
FALSE,Dcaf8
TRUE,Ctnnbl1
FALSE,Ap3b1
FALSE,Atp8a2
TRUE,Pomp
FALSE,Cdk8
FALSE,Chrm3
FALSE,Dstyk
FALSE,Ephb2
FALSE,Kras
FALSE,E2f5
FALSE,Sbf2
FALSE,Hsd17b4
FALSE,Mbd2
FALSE,Chl1
FALSE,Meis2
FALSE,Sort1
FALSE,Notch2
FALSE,Mycn
FALSE,Ano3
FALSE,Il6st
FALSE,Rax
FALSE,Il2ra
FALSE,Kctd1
FALSE,Sox5
FALSE,Lrp4
FALSE,Sox3
FALSE,Mtnr1b
TRUE,Pum1
TRUE,Elp2
FALSE,Tmem165
FALSE,Clock
FALSE,Dzip1
FALSE,Arhgap32
FALSE,Ets1
